2026-08-25T15:10:49+08:00 [INFO] [OPT_START] optimizer started | {"allow_opaque": true, "input": "/Users/lanyu/Desktop/lexiod-pipeline/samples/batch_record_fixed.tex", "llm": true, "log": "/Users/lanyu/Desktop/lexiod-pipeline/samples/batch_record_optimized.texopt.log", "output": "/Users/lanyu/Desktop/lexiod-pipeline/samples/batch_record_optimized.tex", "probe": true}
[1/7] Reading input: samples/batch_record_fixed.tex
2026-08-25T15:10:49+08:00 [INFO] [INPUT_READ] LaTeX input loaded | {"bytes": 651473, "lines": 25378}
[2/7] Auditing tables and format risks…
  Found 174 opaque table(s), 0 format risk(s)
2026-08-25T15:10:50+08:00 [INFO] [TABLE_AUDIT] table audit completed | {"format_risks": 0, "opaque_tables": 174}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1, 3], "notes": [], "source_line": 40, "table_id": "t0001", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [3, 4], "notes": [], "source_line": 100, "table_id": "t0002", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1, 3], "notes": [], "source_line": 337, "table_id": "t0003", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [3, 4], "notes": [], "source_line": 391, "table_id": "t0004", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1, 3], "notes": [], "source_line": 689, "table_id": "t0005", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1, 3], "notes": [], "source_line": 1008, "table_id": "t0006", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [2, 3, 4], "notes": [], "source_line": 1071, "table_id": "t0007", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1, 3], "notes": [], "source_line": 1161, "table_id": "t0008", "width_strategy": "probe"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1, 3], "notes": [], "source_line": 1212, "table_id": "t0009", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1], "notes": [], "source_line": 1432, "table_id": "t0010", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1], "notes": [], "source_line": 1631, "table_id": "t0011", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1], "notes": [], "source_line": 1687, "table_id": "t0012", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1], "notes": [], "source_line": 1887, "table_id": "t0013", "width_strategy": "probe"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1], "notes": [], "source_line": 2074, "table_id": "t0014", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1], "notes": [], "source_line": 2087, "table_id": "t0015", "width_strategy": "static"}
2026-08-25T15:10:50+08:00 [INFO] [TABLE_FOUND] SyncTeX-opaque table detected | {"environment": "tabularx", "flex_columns": [1, 3], "notes": [], "source_line": 2233, "table_id": "t0016", "width_strategy": "probe"}
